Library_ID	Sanguinis	Mitis	Salivarius	Anginosus	Bovis	Pyogenic	Mutans	Downei	Other	Unknown	Genus_other	Streptococcus	Sanguinis_tot	Anginosus_tot
HCLVMBCX2-3505-02-00-01_S2	94.3858621363015	2.39211091583675	0.126928334309705	1.72817809021675	0.136692052333529	0.214801796524116	0.0585823081429408	0.195274360476469	0.410076157000586	0.351493848857645	0.989819800830404	0.0101801991695964	0.00971145539924775	0.000275982994276079
HCLVMBCX2-3505-14-00-01_S14	93.3456743321339	2.96891353546202	0.0818471247149922	0.575022130605694	0.17002083788939	0.451379669532894	0.189050418924769	0.174006090462244	0.869532295739616	1.17455356453444	0.802379972599602	0.197620027400398	0.184606990663099	0.00123658831693947
SRR6877324	92.9324259885646	3.64453119777531	0.102054003948465	0.581574127304571	0.184499378317312	0.35964009251708	0.192075439745801	0.143499516469021	0.773649567050372	1.08605068830746	0.937813934368747	0.0621860656312532	0.0579021319476995	0.000461727611070473
SRR11176640	92.8839812897784	3.77853719917628	0.155672147989242	1.11141598831489	0.16740530098309	0.578250429830664	0.121673720416518	0.0898925815985358	0.638302000271618	0.474869341640775	0.907413882027803	0.0925861179721968	0.0861060362887355	0.00112911699623076
HCLVMBCX2-3505-21-00-01_S21	92.4628134870286	2.58078449369651	0.156574791458575	3.46084280430851	0.202467402748158	0.151175660718624	0.0728882649893367	0.134978268498772	0.348243932726831	0.429230893826094	0.971032795820427	0.0289672041795727	0.0268838919729651	0.0011025094014581
SRR11176628	92.202259724462	4.7272759392595	0.0860583026072385	0.560893189280315	0.149908010993254	0.330731394624006	0.157857678242896	0.147131936715601	0.720138904662038	0.917744919153146	0.860537515381432	0.139462484618568	0.128708370447867	0.000882362159932075
HCLVMBCX2-3505-12-00-01_S12	91.7446944577677	3.23928290895947	0.0750735094780306	3.15725814860384	0.171000771588847	0.266928033699664	0.164744645799012	0.0980126373740955	0.596417325297687	0.48658756143168	0.935758015845689	0.0642419841543108	0.059041295839459	0.00212837763729285
HCLVMBCX2-3505-15-00-01_S15	91.602374461009	2.65676663379546	0.0957132084227623	3.13049867548388	0.116982810294487	0.257168822630856	0.791809269679216	0.116982810294487	0.534640447048359	0.697062861341532	0.949367466620713	0.0506325333792865	0.0464844344749122	0.0016851817329101
OAK004.A0101	91.3434726208594	3.98813110936335	0.15321287396709	0.824285261942944	0.207348089435462	0.495899002073481	0.269654658182078	0.220626538512609	0.934598531199248	1.56277131446432	0.932251986990344	0.0677480130096562	0.0619966490413349	0.000658556556966021
HCLVMBCX2-3505-11-00-01_S11	90.9851301115242	5.57878975629905	0.0748657579512598	0.82094175960347	0.154894671623296	0.307207765386204	0.518897149938042	0.147149938042131	0.694444444444445	0.717678645187939	0.941437115787404	0.0585628842125958	0.0533977651958516	0.000580895736360255
SA-003	90.9001608187755	5.31317228825174	0.0971701836049714	1.10175712545986	0.141724197921661	0.455723917867857	0.131540423220704	0.108626930143549	0.73662637003594	1.01349774471823	0.845330430250525	0.154669569749475	0.140714810523949	0.00180432448132644
SA-006	90.8062336010177	5.12416845564655	0.139142879860062	1.49691235323739	0.163526013092682	0.444329596353131	0.153984787045135	0.150539344305743	0.818822718719355	0.702340250722218	0.765453715100064	0.234546284899936	0.213121757850266	0.00361159703677913
SIG047.A0101	90.5784824909124	6.29883053440137	0.157080119084823	0.5855552083162	0.120071714064839	0.353635870190963	0.167771436090597	0.139809530075497	0.644768656348175	0.953994440515157	0.91549025537284	0.0845097446271598	0.0766637849640566	0.000594955554798601
CDM052.I0101	90.4041016193154	5.80577911373994	0.0739358091728886	0.985406768156695	0.189081741491322	0.534519538446621	0.156356055463977	0.153931930573063	0.814505963347232	0.882381460292834	0.973272474167475	0.0267275258325254	0.0242690521293535	0.000363443219075233
CDM052.M0101	90.3923107100824	6.40957238132601	0.0612004707728521	0.606512357787368	0.177324440957238	0.327187132208709	0.168693605335426	0.128677912907022	0.681836014123186	1.0466849744998	0.957310920653808	0.0426890793461919	0.0386931530276053	0.000358951497680994
MID061.A0101	89.9171538909624	6.77403579929955	0.0963661337763299	0.554944277841303	0.155456312820771	0.378632607710729	0.142631466658996	0.155216596070084	0.740964476374716	1.08459843848509	0.846904583920718	0.153095416079282	0.137781961358865	0.000949735710170749
HCLVMBCX2-3505-07-00-01_S7	89.8891074941871	2.79914147737435	0.0822750849579682	5.47129314970488	0.125201216240386	0.289751386156323	0.146664281881595	0.114469683419782	0.482918976927205	0.59917724915042	0.961884241281617	0.0381157587183832	0.0343678108134829	0.00218578373715988
CDM043.X0101	89.6841374522735	6.06932116824515	0.114047701690881	1.51832201120643	0.169583973818615	0.571230227599544	0.169583973818615	0.163633658947786	0.888580354043735	0.65155947835573	0.969047155565899	0.0309528444341007	0.0278661956937573	0.000570072270157381
ECO002.C0101	89.568304959764	3.96107851623866	0.139463306723093	3.08502452630567	0.256484242249367	0.7037286396717	0.234041871052547	0.193164694944054	1.01792183642717	0.840787406623706	0.911814509771481	0.0881854902285186	0.0791076130791115	0.00282127985701438
CDM042.W0101	89.560915774861	7.32994483903428	0.0991575282598955	0.530309151138108	0.157550294901834	0.325016342629658	0.16783329783249	0.149838042703842	0.653705186305978	1.02572954233292	0.918231804252505	0.0817681957474952	0.0733444477015019	0.0005336958878782
TAF017.C0101	89.2968024837564	5.60125468104856	0.15683513106936	1.11064878532791	0.208046602438946	0.662548410844029	0.243254489005537	0.227250904202541	0.995422974746343	1.49793553756041	0.901974384162244	0.0980256158377559	0.0876564900828521	0.00118900326387145
