Host	Library_ID	Sanguinis	Mitis	Salivarius	Anginosus	Bovis	Pyogenic	Mutans	Downei	Other	Unknown	Genus_other	Streptococcus	Sanguinis_tot	Anginosus_tot
Howler monkey	OME007.A0101	7.84590299897294	10.61241355119	0.534633775120876	2.81645132186975	2.43134258922082	4.58905137805311	3.11297464168241	2.33279874910263	10.5577165177609	55.1667144770265	0.661672360484668	0.338327639515332	0.0266749404056194	0.00963963183636277
Howler monkey	OME005.A0101	7.78853370797329	11.2348684590366	0.606705028771579	2.88774273012452	2.37557976174439	4.61331575604781	3.16968495602471	2.36018359923789	10.6228709994034	54.3405150016359	0.746380501378114	0.253619498621886	0.0198810858946121	0.00743420296141967
Howler monkey	OME009.A0101	7.68949693172415	10.8303152102656	0.565830906296682	2.88718847059076	2.58895850573354	4.64432718245226	3.18273167900783	2.3562853980161	10.5992541564122	54.6556115595009	0.857981715059809	0.142018284940191	0.0110370306764221	0.00420654548039245
Howler monkey	OME003.A0101	7.67095809159843	11.3729965904932	0.587657181724121	2.81867937089843	4.04039530681238	4.61479489640345	3.11236385749818	2.37080332362071	10.4291136723242	52.982237708627	0.849287871046472	0.150712128953528	0.0116800836136335	0.0043550803179041
Howler monkey	OME002.A0101	7.66844694363694	10.5842304312035	0.551183294294497	3.13212094218143	2.39124469595441	4.49536504957071	3.16473063203146	2.45487335907643	10.3989119498606	55.15889270219	0.916399619983131	0.0836003800168689	0.00652238960320936	0.00272317795544661
Gorilla	Gb2-reg	74.6219383827751	7.67215062257682	0.21234082014874	0.88674011382761	0.59237229750343	1.48274907618611	1.0534205863516	0.438622188908576	2.04461379629424	10.9950521154277	0.867732515715271	0.132267484284729	0.0989766788178424	0.00127496167119224
Gorilla	Gb2-wash	59.820931527185	11.1365745036185	0.372518092410466	1.20244943403229	0.867971794395992	2.78298385600297	1.3318797550566	0.741324921135647	3.46028947856745	18.2830766375951	0.892746330985144	0.107253669014856	0.0645824799676763	0.001396150353441
Gorilla	Gb2-uv	49.3558585890844	16.9536614185801	0.367898316992942	1.20429214703158	0.799987225752882	5.27672212818957	1.44732219844793	0.812442116692747	3.48066298342541	20.3011528758024	0.900108452130766	0.0998915478692336	0.0499387113938477	0.00131607384544737
Gorilla	FDM001.A0101	16.0901926444834	8.53327495621716	0.332749562171629	2.59632224168126	1.42294220665499	3.71278458844133	12.907180385289	2.52189141856392	8.93607705779334	42.946584938704	0.968334133887891	0.0316658661121091	0.00520158753074834	0.000923194940335719
Gorilla	MTK001.A0101	15.3428420496566	8.14580031695721	0.435287902799789	2.13840464870576	2.02641310089805	4.34653988378236	6.47226624405705	2.57791864764923	12.1204437400951	46.3940834653988	0.96015133730901	0.0398486626909898	0.00623920203056158	0.000955649697690169
Gorilla	ERS9656265	13.7397634212921	8.35824775770181	0.74093331600156	2.36578707916288	2.96373326400624	4.7965683088522	14.363707266346	2.01481866632003	6.7203951644352	43.936045755882	0.986784361523243	0.0132156384767574	0.00192469151147294	0.000414185293366202
Gorilla	ERS9656263	13.5979057231728	8.97342628500725	0.697137554347515	5.75525144497081	2.15213294304323	17.9462797371843	6.35099758837378	2.55368875701004	11.3495368646568	30.6236431022335	0.979751650763218	0.0202483492367817	0.0029163716879781	0.00129201644406083
Gorilla	Gb1-wash	12.5108165172545	24.0550690526462	0.692257104288533	2.45664739884393	5.05174621854557	7.99124294763075	8.81416358035374	2.71451317019141	11.1046692741684	24.608874736077	0.993002323626337	0.00699767637366291	0.000988521904664513	0.000274471827869868
Gorilla	ERS9656270	11.9585583599691	11.7711892428083	1.21238840515816	1.82409346412433	1.21789926154524	3.3781549652816	3.1907858481208	1.78551746941475	7.34597156398104	56.3154414195966	0.997729706226391	0.00227029377360843	0.000371913025924589	0.000141476134369142
Gorilla	MTM011.A0101	10.3284620083643	9.73168554109299	0.888116159954889	4.00357126074903	2.41999906019454	31.6432498472816	3.43968798458719	2.82411540811052	14.6280719890983	20.0930407405667	0.964035971184412	0.0359640288155878	0.00402373879824342	0.00162093969795423
Gorilla	EBO001.A0101	9.81697171381032	5.35305740432612	0.153390183028286	1.15432612312812	0.683756239600666	1.5521006655574	1.65089434276206	0.899542429284526	4.61470465890183	74.1212562396007	0.975724791263022	0.0242752087369778	0.00248532921459751	0.000380478329258817
Gorilla	ERS9656254	8.66853757405675	23.6357966947303	0.841908325537886	2.27627065793577	1.87090739008419	4.92672279388837	6.73526660430309	1.46554412223262	10.9448082319925	38.6342376052385	0.990189670462531	0.0098103295374692	0.00095304595708381	0.000324001276500425
Gorilla	ERS9656261	6.51753864447087	5.32585507449115	0.528082814576485	1.67211652794293	2.02009162761419	3.08237742183675	55.8041022592152	2.00347975099671	8.53107295236763	14.5152829264881	0.905931692910628	0.0940683070893717	0.00624161596713047	0.00167567114322047
Gorilla	ERS9656266	5.76923076923077	3.84615384615385	0	1.92307692307692	44.2307692307692	13.4615384615385	3.84615384615385	3.84615384615385	7.69230769230769	15.3846153846154	0.980654761904762	0.0193452380952381	0.00121607142857143	0.00047202380952381
Gorilla	ERS9656260	5.25969540475642	5.62481497319167	0.536166573467978	2.05585342587415	0.999967106345186	3.49330614124535	66.8530640439459	0.976941547975396	4.31235814611361	9.88783263708431	0.993482964789102	0.00651703521089757	0.000444329036434276	0.000234587647136599
Gorilla	ERS9656259	5.19006208727754	5.88792703511041	0.784727911636676	1.13612808338845	1.21706857238745	5.79514159650179	60.857376935909	1.29406074484991	3.58605849430949	14.2514485386293	0.942561706569882	0.057438293430118	0.00313904637059951	0.000765261006572848
