Full	Library_ID	Sanguinis	Mitis	Salivarius	Anginosus	Bovis	Pyogenic	Mutans	Downei	Other	Unknown	Genus_other	Streptococcus	Sanguinis_tot	Anginosus_tot	Mitis_tot
Calculus - Industrial	VLC010.A0101	89.8125413061271	7.03571913146619	0.256918639512949	0.655208182880553	0.132617287516905	0.361524354749056	0.14749843529108	0.115985416475181	0.666587884119627	0.815399361861369	0.982199239958092	0.017800760041908	0.016091370936199	0.000216661625876531	0.00135272921574164
Calculus - Industrial	JAE006.A0101	89.7472683229027	7.48796949651216	0.0689425135561661	0.349123912224359	0.105471235331626	0.346909521930572	0.159941749329973	0.162871021529628	0.611136848797072	0.960365377885704	0.893027482533976	0.106972517466024	0.0961284027225949	0.000473558017638438	0.00811202937785771
Calculus - Industrial	VLC003.A0101	84.21302326792	12.8208404466892	0.125644638629693	0.458804057067748	0.235790738972672	0.477142022216149	0.136765727171304	0.11771790530748	0.69140044082102	0.722870755204729	0.951293399575802	0.0487066004241977	0.0411247806382295	0.000323508610268647	0.00634573428803055
Calculus - Industrial	JAE009.A0101	84.1896259695577	13.1839275767675	0.0846070858840412	0.541149736137402	0.126829432006595	0.321214617809277	0.123906346505803	0.100034481582667	0.581044440101918	0.747660313647074	0.952812853218863	0.0471871467811374	0.039833465661723	0.000355396721520545	0.00632218150544526
Calculus - Industrial	VLC002.A0101	83.4441089352589	12.2723439042715	0.118307767149589	1.19545536976215	0.28814130150058	0.624641982273985	0.166667146422413	0.146229551610684	0.78468849939119	0.959415542359074	0.963468010262736	0.0365319897372643	0.030592503731567	0.000536848422117805	0.00458461247979063
Calculus - Industrial	VLC001.A0101	83.2897769071009	11.4487306703238	0.154445803748156	2.917516070202	0.150381440491625	0.354122164308272	0.150149191162681	0.131046683856988	0.594964718423817	0.808866350381789	0.9242689666777	0.0757310333223003	0.0631875166240949	0.00230986116681795	0.00877179638738187
Calculus - Industrial	JAE012.A0101	82.7449484827893	14.6650652054368	0.132668836760071	0.343934236014403	0.124674134870621	0.316276888937385	0.161082439421227	0.105767745267191	0.609271909534546	0.796310120968483	0.908134285126927	0.0918657148730725	0.0761332234981792	0.000416036557095662	0.0135755317493765
Calculus - Industrial	JAE010.A0101	80.792652790672	16.2200480278166	0.097263758250945	0.502405590194935	0.182123237801006	0.429272030354304	0.121620076325077	0.135801009527391	0.681944603266589	0.836868875791177	0.91221106343271	0.0877889365672901	0.0710448638430961	0.000541167543820336	0.0143429918948618
Calculus - Industrial	VLC004.A0101	79.1161774258098	14.3404350273146	0.116178329218308	4.10761763055833	0.175170902297277	0.361995773855178	0.160626025933244	0.125573777304392	0.66635408733611	0.829871020372764	0.957357112803914	0.0426428871960863	0.0338452732642253	0.00185201436568549	0.00621659858286745
Calculus - Industrial	JAE013.A0101	75.4638139696153	21.0923497783228	0.177486230688759	0.729745876430152	0.2235043268908	0.289705798620052	0.132232978190907	0.127601424648873	0.639154388800649	1.1244052277917	0.891529626359311	0.108470373640689	0.0819660221311546	0.000891656145208932	0.0229817850956418
Calculus - Industrial	VLC005.A0101	74.9257043318105	21.4901849833157	0.123377686058155	1.31493763158114	0.152391413489996	0.347277119929879	0.13857799450237	0.125985038236542	0.660825088275514	0.720738712800158	0.931911645872598	0.0680883541274025	0.0511268640350049	0.000995515689035908	0.0147355213742741
Calculus - Industrial	VLC009.A0101	73.7238357205746	23.6388604142893	0.095192525200371	0.501778973383935	0.131520414676131	0.31475761645317	0.108647299080282	0.107554098702539	0.565941426323761	0.811911511315885	0.948719010419261	0.0512809895807387	0.0379131605003149	0.000357363831802837	0.0122244372888836
Calculus - Industrial	VLC008.A0101	73.1091297178061	21.9363082787816	0.110650266631449	2.66959830383849	0.154910373284029	0.376639230159693	0.12849708383007	0.093231773045595	0.570812601280688	0.850222371342295	0.972211638811584	0.027788361188416	0.0204202855744981	0.000842000350880688	0.00619707775753351
Calculus - Industrial	JAE007.A0101	69.2370497692769	28.066209395062	0.103730109320463	0.314941431360555	0.124603184686786	0.360196678821452	0.145718266724022	0.153190222688488	0.62180589007936	0.872555051980008	0.913945101878608	0.0860548981213925	0.0596946419202433	0.000371080612046957	0.0242575241078438
Calculus - Industrial	JAE008.A0101	66.435515020681	28.5651740165066	0.0880253249189475	2.66251881664951	0.167412958778433	0.409993610746079	0.15172005441086	0.139060232400045	0.683300705719141	0.697279259189415	0.962229251108714	0.0377707488912863	0.025199258787837	0.00110589645140508	0.0108918888675238
Calculus - Industrial	JAE014.A0101	64.3569718559471	27.1416945044544	0.120690918379672	6.10919805389607	0.180392824682332	0.430091344906724	0.137027260900301	0.124849260112196	0.700383557520757	0.69870041920045	0.973040977569924	0.0269590224300765	0.0174541567444646	0.00174737366524328	0.00741888414195404
Calculus - Industrial	JAE016.A0101	60.2802810496449	23.4427940997509	0.148595072023775	10.650167489704	0.446425712071428	1.59099206425456	0.201115744032179	0.140909120022545	1.46289286423406	1.63582678426173	0.997169090655841	0.00283090934415907	0.00180690527563496	0.000401571704013793	0.000763809594575946
Calculus - Industrial	JAE015.A0101	52.3277028707245	40.4657761583545	0.124597870842266	4.16067890133995	0.237154770972884	0.677697242879467	0.166217747867309	0.149988613429871	0.946786762261504	0.743399061327805	0.989054664429985	0.0109453355700149	0.00582916324846683	0.00055553707391127	0.00453044553589287
