Secondary_sample_accession,Classified,Unclassified
SRR17524519,69616,361
SRS475593,77181,47351
SRR17524401,42795,164
SRS476330,4522685,2094964
NMU116.A0101,817625,4658382
SRR17524495,49362,209
SRS475711,164033,79375
SRR17524504,42094,149
ERR5729638,8780794,20363018
SRS475696,58405,43369
SRR17523818,66398,234
SRS476757,165849,62570
JAE013.A0101,31681038,7177944
SRS015063,35058830,6356197
SRS015799,9508280,919028
SRR1646032,75247,85184
CMC024.A0101.SG1,9546224,4019951
ERR1474565,12538250,5797930
ABM007.A0101,1538929,11409418
MTS002.A0101,1542453,4905537
BK4,750958,5606654
SRR17524141,45905,158
SRR5297132,988798,1750971
SRS476071,129461,64792
SRR3184100,21979657,4281996
HPD007.B0101,4171849,6384474
SRS047634,38299881,12410911
SRR17523834,56954,177
DLV002.A0101,17769,63208
SRS476162,113699,61926
SRR17524427,16469,264
ERR5729644,9091415,19222361
SRS475685,132810,41751
SRR17524534,95252,675
PAH002.A0101,2188621,9168890
SRS476086,56288,30839
SRR17523885,49378,195
EFE003.B0101,4214933,6753151
SRS476072,51621,35425
SRR17524620,70615,421
HCLVMBCX2-3505-23-00-01_S23,1203938,3509156
SRS475538,40955,40501
SRR17524399,39715,163
SRR11176633,4040703,1050294
SRS476080,29988,21430
SRR17523826,75194,414
MID032.A0101,4609604,5954109
SRS476089,72658,35289
SRR17524312,54522,289
HCLVMBCX2-3505-07-00-01_S7,1889826,5514081
SRS476174,263272,83008
SRR17523821,44001,65
2087,3144567,3691997
SRS475706,258618,80335
SRR17524105,57211,216
JAE007.A0101,55107673,11167584
SRS475590,31366,21444
VLC010.A0101,14307758,4728281
SRS015064,15623280,3006731
SRR1646034,7322,8005
CMC026.B0101.SG1,13131423,3078692
ERR1474575,15494432,3713510
27C,1404852,2647822
ABM006.A0101,1615475,6406568
SRR17523828,62743,242
HPD007.B0101,4171849,6384474
SRS476265,177002,63370
ERS9656271,7293312,7278618
SRR1761718,32535796,11339505
SRS020340,48036874,7401886
SRR17524363,47695,133
HCLVMBCX2-3505-33-00-01_S33,153185,1965122
SRS475970,70758,41068
SRR17524294,57747,286
CDM051.M0101.SG1,4515795,5436412
SRS476201,405847,139426
SRR17524424,24244,101
SRS475618,146673,51384
SRR17524122,40146,80
SRS475653,78701,45306
KT06calc,1929315,3868145
SRR17524586,31909,138
SRS476112,173176,91745
MID027.A0101,4208942,2499054
SRR17524595,204,12
SRS475592,45863,30167
HCLVMBCX2-3505-21-00-01_S21,1972219,4287597
BIT001.A0101,4085785,19055163
SRR17523882,44578,158
SRS476002,2909390,602374
BIT001.A0101,4085785,19055163
SRR17524601,49299,252
SRS475628,28919,22097
ERR5729625,10257339,26652590
SRR17524092,33717,173
SIG040.A0201,1708595,11545608
SRS476045,54278,42877
SRR17524426,32452,268
SRS475934,133272,76150
SIG039.A0101,931989,9831985
VLC001.A0101,26714499,7235114
SRS019029,16321682,6729934
SRR1646042,661790,695660
CMC036.B0101.SG1,12860209,2473242
ERR1474572,2497191,882885
CDC006.A0101,2968931,12090879
MTM010.A0101,2161267,6939656
SRR17523906,61245,193
CDM048.Q0101.SG1,3141380,6420296
SRS476026,87523,58401
SRR1761688,26275365,3624308
SRS011098,30128923,9698273
SRR17524196,64308,282
SRS476049,98320,38762
KT36calc,1877404,3492413
SRR17524065,56489,143
SRS475969,381013,148955
SRR17524244,21828,5815
SRS475691,88840,35100
SRR17524521,65511,285
SRS476165,318202,107187
SRR11176642,8442886,5719313
SRR17523938,40077,100
SRS476111,257847,100944
ANN001.A0101,4326087,4665575
SRR17524598,45184,207
