Library_ID	Clade	Percent
VLC010.A0101	Sanguinis	89.8125413061271
JAE006.A0101	Sanguinis	89.7472683229027
VLC003.A0101	Sanguinis	84.21302326792
JAE009.A0101	Sanguinis	84.1896259695577
VLC002.A0101	Sanguinis	83.4441089352589
VLC001.A0101	Sanguinis	83.2897769071009
JAE012.A0101	Sanguinis	82.7449484827893
JAE010.A0101	Sanguinis	80.792652790672
VLC004.A0101	Sanguinis	79.1161774258098
JAE013.A0101	Sanguinis	75.4638139696153
VLC005.A0101	Sanguinis	74.9257043318105
VLC009.A0101	Sanguinis	73.7238357205746
VLC008.A0101	Sanguinis	73.1091297178061
JAE007.A0101	Sanguinis	69.2370497692769
JAE008.A0101	Sanguinis	66.435515020681
JAE014.A0101	Sanguinis	64.3569718559471
JAE016.A0101	Sanguinis	60.2802810496449
JAE015.A0101	Sanguinis	52.3277028707245
CMC006.A0101	Sanguinis	91.5203247086719
CMC037.A0201	Sanguinis	89.2801840354219
CMC011.B0101	Sanguinis	89.0679490148354
CMC031.B0201	Sanguinis	87.118679481822
CMC001.A0201	Sanguinis	86.5052310755912
CMC031.A0201	Sanguinis	86.4327852771555
CMC001.A0101	Sanguinis	85.9161888357546
CMC004.A0101	Sanguinis	83.4829172637454
CMC015.A0201	Sanguinis	83.0411397137122
CMC024.A0101	Sanguinis	82.2621496039001
CMC038.A0101	Sanguinis	81.7213805051372
CMC042.A0201	Sanguinis	80.1589649088825
CMC035.A0201	Sanguinis	79.3857382510316
CMC034.A0101	Sanguinis	79.3093840312067
CMC030.A0101	Sanguinis	79.3017642218427
CMC022.A0101	Sanguinis	78.4411776457535
CMC035.B0201	Sanguinis	78.0857104231445
CMC018.B0101	Sanguinis	77.4544001623583
CMC022.B0101	Sanguinis	77.0212501989088
CMC043.B0101	Sanguinis	76.7777756979606
CMC043.A0101	Sanguinis	76.7320337099463
CMC025.A0201	Sanguinis	76.0689887829974
CMC026.B0101	Sanguinis	75.7244771306275
CMC045.A0201	Sanguinis	74.6228183725394
CMC024.B0101	Sanguinis	74.3316362442945
CMC008.A0101	Sanguinis	73.571012408732
CMC036.A0101	Sanguinis	73.3913004562467
CMC010.A0101	Sanguinis	72.1745993975729
CMC029.B0201	Sanguinis	71.0296019243337
CMC028.B0101	Sanguinis	70.6896850395974
CMC026.A0101	Sanguinis	70.339348423212
CMC009.B0101	Sanguinis	69.52820760244
CMC017.A0201	Sanguinis	68.7071303238156
CMC021.A0201	Sanguinis	68.520343470577
CMC028.A0101	Sanguinis	66.9707943375817
CMC032.A0101	Sanguinis	65.933421745565
CMC018.A0101	Sanguinis	65.815401714995
CMC007.B0101	Sanguinis	64.7511319389044
CMC029.A0201	Sanguinis	63.8263665594855
CMC030.B0101	Sanguinis	62.9875102561765
CMC020.B0101	Sanguinis	62.677999445131
CMC038.B0101	Sanguinis	62.278006650857
CMC023.A0301	Sanguinis	61.6596162072705
CMC020.A0101	Sanguinis	60.4388581619763
CMC003.A0201	Sanguinis	60.4198241385527
CMC027.A0201	Sanguinis	59.9477682811016
CMC039.B0201	Sanguinis	59.5405597039729
CMC004.B0201	Sanguinis	58.8059825164685
CMC017.B0201	Sanguinis	58.487740631822
CMC008.B0201	Sanguinis	57.1141431086689
CMC001.B0201	Sanguinis	56.623368510645
CMC006.B0201	Sanguinis	56.0648326482926
CMC003.B0101	Sanguinis	55.8328590701746
CMC042.B0101	Sanguinis	55.3407461934834
CMC010.B0201	Sanguinis	55.3291471084999
CMC012.A0201	Sanguinis	51.8943436499466
CMC034.B0101	Sanguinis	51.7382332155477
CMC011.A0201	Sanguinis	51.5978100882351
CMC040.B0101	Sanguinis	49.9822986320224
CMC016.A0101	Sanguinis	49.1767926015013
CMC021.B0201	Sanguinis	48.8404707903319
CMC009.A0202	Sanguinis	48.8186293218266
CMC046.B0201	Sanguinis	48.1257263317208
CMC023.B0201	Sanguinis	45.3563731890327
CMC002.B0201	Mitis	50.6060520937941
CMC013.A0201	Sanguinis	43.9431462408852
CMC016.B0101	Mitis	43.7553399705506
CMC027.B0201	Mitis	52.9715239979017
CMC025.B0201	Sanguinis	40.9649903788162
CMC015.B0201	Mitis	51.7007546757082
CMC002.A0201	Mitis	54.4714247101065
CMC033.A0201	Mitis	40.2702435552744
CMC045.B0201	Mitis	43.2578784851512
CMC033.B0201	Sanguinis	35.3518320935334
CMC036.B0101	Mutans	51.8557539580878
CMC041.A0201	Mitis	63.0259973456164
CMC005.A0202	Mitis	66.6846082479338
CMC005.B0101	Mutans	47.6013545879795
CMC012.B0201	Mutans	68.5883012294007
CMC013.B0101	Mutans	70.192590414584
CMC032.B0101	Mitis	83.3333333333333
CMC047.A0201	Mutans	82.7562083419467
CMC044.A0201	Mutans	82.496777038947
CMC014.A0101	Mutans	87.0521979302629
CMC037.B0201	Mutans	95.8064301260324
SRS023938	Sanguinis	87.0878812864214
SRS015899	Sanguinis	86.8836392009592
SRS018975	Sanguinis	84.3582517953043
SRS019225	Sanguinis	77.1081434681665
SRS023538	Sanguinis	75.6222336397825
SRS012285	Sanguinis	75.5150113452639
SRS018394	Sanguinis	75.227032405388
