Library_ID	Total
CDM042.W0101	26089
CDM043.L0101	29011
CDM043.P0101	31439
CDM043.T0101	32012
CDM043.U0101	28905
CDM043.X0101	32755
CDM043.Y0101	32024
CDM045.F0101	27936
CDM045.G0101	28991
CDM045.H0101	32582
CDM045.I0101	33034
CDM045.L0101	32861
CDM045.M0101	33469
CDM045.Q0101	30481
CDM045.R0101	30157
CDM045.S0101	32810
CDM046.A0101	31254
CDM046.B0101	29364
CDM046.F0101	31338
CDM046.G0101	29637
CDM046.H0101	32283
CDM046.N0101	29786
CDM046.Q0101	31524
CDM046.V0101	32869
CDM046.Y0101	25854
CDM047.B0101	32162
CDM047.E0101	27596
CDM047.H0101	33347
CDM047.S0101	29827
CDM047.V0101	27678
CDM048.A0101	35764
CDM048.D0101	35345
CDM048.E0101	31924
CDM048.F0101	28904
CDM048.I0101	29141
CDM048.K0101	30362
CDM048.N0101	26023
CDM048.O0101	31811
CDM048.P0101	29860
CDM048.Q0101	29550
CDM048.S0101	27417
CDM048.V0101	31687
CDM048.W0101	29706
CDM048.Z0101	33074
CDM049.A0101	28018
CDM049.D0101	32269
CDM049.E0101	29319
CDM049.F0101	29445
CDM049.I0101	30728
CDM049.K0101	26645
CDM049.M0101	28706
CDM049.P0101	26966
CDM049.S0101	30443
CDM049.W0101	26749
CDM050.L0101	28745
CDM050.V0101	32431
CDM050.X0101	33721
CDM050.Z0101	28388
CDM051.A0101	27262
CDM051.D0101	26377
CDM051.G0101	28183
CDM051.I0101	28027
CDM051.M0101	27612
CDM051.R0101	31847
CDM051.S0101	30504
CDM051.U0101	30270
CDM051.V0101	29909
CDM051.Z0101	29697
CDM052.F0101	30174
CDM052.I0101	31281
CDM052.J0101	30368
CDM052.K0101	32777
CDM052.M0101	28487
CDM052.N0101	30691
CDR001.A0101	29980
CDR002.A0101	24896
CDR003.A0101	32229
CDR004.A0101	32851
CDR005.A0101	31859
CDR006.A0101	33500
CMB001.A0101	27857
CMB002.A0101	31907
CMB003.A0101	29189
CMB004.A0101	28146
CMB005.A0101	30802
CMB006.A0101	31259
CMB007.A0101	29908
CMB008.A0101	26109
CMN001.A0101	36764
CMN001.C0101	34739
CMN004.A0101	31887
COV001.A0101	19268
COV002.A0102	27315
CPM001.A0102	19396
CPM002.A0102	26194
CPM003.A0102	33352
CPM004.A0102	43718
CPM005.A0102	28521
CPM006.A0102	34508
CPM007.A0102	45260
CRC001.B0101	34714
CRC002.A0101	25049
CRC003.A0101	30350
CRC004.A0101	26414
CRC005.A0101	32928
CS01	35956
CS02	34158
CS03	31976
CS04	35428
CS07	35952
CS08	33687
CS09	38377
CS10	39831
CS11	38471
CS12	28629
CS13	38647
CS14	13707
CS15	36705
CS16	35772
CS17	38003
CS18	20447
CS19	31444
CS20	37180
CS21	39277
CS22	40340
CS23	37601
CS24	26661
CS26	29240
CS27	7888
CS28	32050
CS29	35311
CS30	29379
CS31	39009
CS32	39711
CS33	35417
CS34	33155
CS35	40025
CS36	29925
CS37	35727
CS38	35392
CS39	31572
CS40	24510
CS42	26472
CS43	28064
CS44	34801
CS45	25155
CS46	34731
CS47	42318
CS48	9132
DLV001.A0101	11069
DLV002.A0101	5110
ECO001.B0101	29789
ECO002.B0101	31389
ECO002.B0102	37450
ECO002.C0101	29978
ECO002.C0102	26715
ECO003.B0101	28176
ECO004.B0101	32265
ECO004.B0102	30316
ECO004.B0103	40580
ECO004.C0101	29818
ECO006.B0101	31520
ECO007.B0101	30321
ECO010.B0101	26283
ECO010.B0102	20658
ECO011.B0101	31780
EFE002.B0101	27273
EFE003.B0101	23598
EFE004.B0101	30694
EFE005.B0101	29491
EFE006.B0101	29898
ELR003.A0101	28346
ELR004.A0101	26484
ELR006.A0101	35028
ELR008.A0101	35916
ELR010.A0101	27938
EMN001.A0101	36574
ERR5729614	42897
ERR5729615	43561
ERR5729616	43026
ERR5729617	43064
ERR5729618	41814
ERR5729619	40941
ERR5729620	42400
ERR5729621	43394
ERR5729622	41445
ERR5729623	41971
ERR5729624	30198
ERR5729625	42436
ERR5729626	44580
ERR5729627	42799
ERR5729628	43953
ERR5729629	43054
ERR5729630	37979
ERR5729631	42774
ERR5729632	44752
ERR5729633	44113
ERR5729634	43853
ERR5729635	35666
ERR5729636	39635
ERR5729637	39663
ERR5729638	36993
ERR5729639	41661
ERR5729640	40280
ERR5729641	42170
ERR5729642	42336
ERR5729643	41844
ERR5729644	40925
ERR5729645	41332
ERR5729646	39647
ERR5729647	42505
ERR5729648	42608
ERR5729649	40386
ERR5729650	42206
ERR5729651	37461
ERR5729652	37459
ERR5729653	37567
ERR5729654	37953
ERR5729655	39108
ERR5729656	38436
ERR5729657	39973
ESA003.A0101	33454
ESA004.A0101	28464
ESA006.A0101	34104
ESA007.A0101	32579
ESA008.A0101	31138
FUM001.A0101	22974
FUM002.A0101	32335
FUM003.A0101	30404
FUT018.B0101	27926
FUT021.B0101	23377
FUT024.B0101	26550
G12	39618
GDN001.A0101	24095
GDN001.B0101	30121
GOY005.A0103	13886
GOY006.A0102	40644
GUE001.A0101	29201
GUE001.A0102	5748
HCLVMBCX2-3505-01-00-01_S1	14608
HCLVMBCX2-3505-02-00-01_S2	16645
HCLVMBCX2-3505-03-00-01_S3	13662
HCLVMBCX2-3505-04-00-01_S4	16740
HCLVMBCX2-3505-05-00-01_S5	12891
HCLVMBCX2-3505-06-00-01_S6	32648
HCLVMBCX2-3505-07-00-01_S7	20276
HCLVMBCX2-3505-08-00-01_S8	16004
HCLVMBCX2-3505-09-00-01_S9	32478
HCLVMBCX2-3505-10-00-01_S10	14208
HCLVMBCX2-3505-11-00-01_S11	13525
HCLVMBCX2-3505-12-00-01_S12	27553
HCLVMBCX2-3505-14-00-01_S14	33000
HCLVMBCX2-3505-15-00-01_S15	24903
HCLVMBCX2-3505-16-00-01_S16	30358
HCLVMBCX2-3505-17-00-01_S17	13975
HCLVMBCX2-3505-18-00-01_S18	12451
HCLVMBCX2-3505-20-00-01_S20	10319
HCLVMBCX2-3505-21-00-01_S21	8443
HCLVMBCX2-3505-22-00-01_S22	8782
HCLVMBCX2-3505-23-00-01_S23	6367
HCLVMBCX2-3505-24-00-01_S24	9173
HCLVMBCX2-3505-25-00-01_S25	9008
HCLVMBCX2-3505-26-00-01_S26	21078
HCLVMBCX2-3505-27-00-01_S27	7703
HCLVMBCX2-3505-28-00-01_S28	19920
HCLVMBCX2-3505-29-00-01_S29	8802
HCLVMBCX2-3505-31-00-01_S31	7335
HCLVMBCX2-3505-33-00-01_S33	7558
IVE002.B0101	36580
IVE003.A0101	32459
IVE005.A0101	32536
IVE005.B0101	36068
IVE007.B0101	35573
KT01calc	38509
KT02calc	25003
KT03calc	24994
KT04calc	29658
KT05calc	27130
KT06calc	30206
KT07calc	30068
KT08calc	27179
KT09calc	27027
KT10calc	27621
KT11calc	26705
KT12calc	25165
KT13calc	26938
KT14calc	25767
KT15calc	32572
KT16calc	26436
KT17calc	25200
KT18calc	31232
KT19calc	33328
KT20calc	32057
KT21calc	25948
KT22calc	27233
KT23calc	31109
KT24calc	31195
KT25calc	31515
KT26calc	32597
KT27calc	29040
KT28calc	28991
KT29calc	32563
KT30calc	29144
KT31calc	37234
KT32calc	31983
KT33calc	33152
KT34calc	30380
KT35calc	28026
KT36calc	29748
LCD001.A0101	24728
LCD001.C0101	29816
LIS001.A0101	32419
LIS002.A0101	30140
LIS003.A0101	33633
LLL001.A0101	17329
LLL002.A0101	33675
LLL005.A0101	24452
LLL006.A0101	19389
LLL011.A0101	29017
LLL012.A0101	26332
LLL013.A0101	26890
LLL014.A0101	26568
MAWB10	41383
MAWB11	34297
MAWB12	31471
MAWB15	41483
MAWB3	23190
MAWB5	29420
MAWB6	39850
MID022.A0101	33637
MID023.A0101	29470
MID024.A0101	33796
MID025.A0101	29038
MID026.A0101	31219
MID027.A0101	26596
MID028.A0101	30553
MID029.A0101	32382
MID030.A0101	32902
MID031.A0101	31995
MID032.A0101	33422
MID033.A0101	29068
MID034.A0101	30700
MID035.A0101	32549
MID036.A0101	32191
MID037.A0101	34623
MID038.A0101	30741
MID039.A0101	31488
MID040.A0101	31244
MID041.A0101	31847
MID042.A0101	31600
MID043.A0101	30175
MID044.A0101	33049
MID045.A0101	33404
MID046.A0101	25085
MID047.A0101	31541
MID048.A0101	29868
MID049.A0101	34861
MID050.A0101	36347
MID051.A0101	27935
MID052.A0101	31471
MID053.A0101	28519
MID054.A0101	37446
MID055.A0101	34583
MID056.A0101	32343
MID057.A0101	36177
MID058.A0101	29949
MID059.A0101	33052
MID060.A0101	31310
MID061.A0101	30245
MID062.A0101	32637
MID063.A0101	30866
MID064.A0101	30591
MID065.A0101	32842
MID066.A0101	33531
MID067.A0101	32505
MID068.A0101	31447
MID068.B0101	26413
MID070.A0101	31575
MID071.A0101	33996
MID072.A0101	31952
MID073.A0101	35923
MID074.A0101	24795
MID075.A0101	22720
MID076.A0101	29682
MID077.A0101	35563
MID078.A0101	32706
MID079.A0101	32521
MID080.A0101	25173
MID081.A0101	34337
MID082.A0101	33870
MID083.A0101	34622
MID084.A0101	34340
MID085.A0101	35534
MID086.A0101	25874
MID087.A0101	30931
MID088.A0101	30060
MID089.A0101	33134
MID090.A0101	22423
MID091.A0101	34949
MID092.A0101	33479
MID093.A0101	35172
MID094.A0101	36119
MID097.A0101	32383
MID101.A0101	34247
MID102.A0101	34427
MOA001.A0101	24197
MOA001.A0102	25890
NMU115.A0101	27935
NMU116.A0101	28720
NMU117.A0101	32274
NMU118.A0101	28217
NMU119.A0101	29383
NMU120.A0101	32218
NMU121.A0101	30431
NMU122.A0101	32933
NMU123.A0101	28884
NMU124.A0101	30561
NMU125.A0101	29593
NMU126.A0101	25902
NMU127.A0101	27116
NMU128.A0101	28553
NMU129.A0101	23067
NMU130.A0101	27741
NMU131.A0101	32103
OAK001.A0101	26825
OAK002.A0101	30469
OAK003.A0101	33347
OAK004.A0101	29833
OAK005.A0101	33634
OFN001.A0101	34970
ONT001.A0101	33259
ONT001.B0101	31378
ONT002.B0101	33200
ONT003.A0101	26369
ONT004.A0101	30507
ONT006.A0101	33353
PAH001.A0102	29270
PAH002.A0101	28800
PAH003.A0101	30940
PAN001.A0101	33300
PAN002.A0101	32332
PAN003.A0101	27010
PAN004.A0101	30136
PAN005.A0101	33124
PAN006.A0101	31927
PAN007.A0101	30890
PAN008.A0101	33461
PAN009.A0101	33094
PES001.B0101	33611
PLV001.A0101	35424
PVM001.A0101	28830
PVM002.A0101	34426
PVM007.A0101	33057
PVM009.A0101	33494
PVM013.A0101	34163
PVM014.A0101	34137
PYK001.A0101	34386
PYK002.A0101	34555
PYK003.A0101	35982
PYK004.A0101	35025
PYK005.A0101	35208
RAP001.A0101	38524
RAP002.A0101	36558
RIG001.A0101	38691
SA-001	36816
SA-002	28887
SA-003	31873
SA-004	29323
SA-005	30239
SA-006	32598
SA-007	32169
SA-008	29983
SA-009	31943
SA-010	29507
SA-011	32476
SIG031.A0101	30040
SIG032.A0101	29670
SIG033.A0101	31625
SIG034.A0101	34000
SIG035.A0101	34676
SIG036.A0101	34681
SIG037.A0101	32632
SIG038.A0101	30162
SIG039.A0101	33517
SIG040.A0101	31529
SIG040.A0201	33246
SIG041.A0101	33893
SIG042.A0101	29857
SIG043.A0101	28766
SIG044.A0101	32283
SIG045.A0101	22451
SIG046.A0101	27564
SIG046.A0201	32301
SIG047.A0101	32291
SPM001.A0101	10255
SPM001.A0102	1623
SPM002.A0101	9288
SPM002.A0102	12032
SPM002.A0103	2325
SPM003.A0101	17659
SPM004.A0101	14982
SPM005.A0101	32650
SRR11176627	40424
SRR11176628	29744
SRR11176629	38423
SRR11176630	37457
SRR11176631	23931
SRR11176632	31606
SRR11176633	30823
SRR11176634	32845
SRR11176635	35554
SRR11176636	38219
SRR11176638	24057
SRR11176639	37483
SRR11176640	41319
SRR11176641	32143
SRR11176642	39319
SRR13263123	45440
SRR13263124	39597
SRR13263130	39678
SRR13263131	6771
SRR5297130	31516
SRR5297131	19169
SRR5297132	20086
SRR5297133	22536
SRR6877282	38584
SRR6877284	41617
SRR6877286	35301
SRR6877288	36972
SRR6877290	37985
SRR6877292	42541
SRR6877310	33862
SRR6877312	34557
SRR6877323	41827
SRR6877324	34333
SRR6877326	33392
SRR6877393	30598
TAF008.B0101	29374
TAF016.B0101	19557
TAF017.A0101	16951
TAF017.C0101	18463
TAF017.E0101	3621
TAF018.A0101	27946
TAF018.B0101	27774
TAP001.B0101	29615
TAP003.B0101	28187
TON001.C0101	29939
TON003.B0101	29137
TON004.B0101	27584
TON005.B0101	34053
TON006.B0101	27303
TON007.B0101	24959
VDC001.A0101	26383
VDC002.A0101	33653
VDC003.A0101	24756
VDC004.A0101	17937
VDC005.A0101	22509
VDC006.A0101	30730
VDC007.A0101	19708
VDC008.A0101	19796
VDC009.A0101	34648
VDC010.A0101	34158
VDC010.B0101	23242
VLD001.A0101	28565
VLD001.A0102	9727
ZAF001.A0101	24726
ZAF001.A0102	23775
ZAF001.A0103	5911
ZAF001.B0101	12746
ZAF001.C0101	19609
ANSP11833	31407
ANSP3271	36612
BB01	23916
BB05	24132
BB05-T06	27551
BB06	25369
BB08	25553
BB08-T08	23929
BB09	25181
BB11	13687
ABM006.A0101	29101
BIT001.A0101	37700
DJA002.A0101	30529
EBO001.A0101	30816
EBO003.A0101	31749
ERS9656246	39720
ERS9656247	38811
ERS9656248	45720
ERS9656249	24815
ERS9656250	39926
ERS9656251	28047
ERS9656252	31899
ERS9656253	41522
ERS9656254	17150
ERS9656255	26493
ERS9656256	20001
ERS9656257	75
ERS9656258	26647
ERS9656259	33382
ERS9656260	36598
ERS9656261	31026
ERS9656262	41864
ERS9656263	42766
ERS9656264	36691
ERS9656265	20611
ERS9656266	465
ERS9656267	180
ERS9656268	8878
ERS9656269	32908
ERS9656270	42378
ERS9656271	40588
FDM001.A0101	22607
Gb1-reg	37936
Gb1-uv	36815
Gb1-wash	41839
Gb2-reg	32209
Gb2-uv	37625
Gb2-wash	34810
GDC002.A0101	29429
GDC004.A0101	21041
GDC005.A0101	27771
IBA001.A0101	35263
IBA002.A0101	29879
LOB001.A0101	31509
MTK001.A0101	28124
MTM003.A0101	40540
MTM010.A0101	25685
MTM011.A0101	24437
MTM012.A0101	28184
MTM013.A0101	27513
MTS001.A0101	28246
MTS002.A0101	30375
MTS003.A0101	29329
WAL001.A0101	29484
OME002.A0101	38643
OME003.A0101	38762
OME005.A0101	34788
OME007.A0101	32749
OME009.A0101	33576
SRR17523801	986
SRR17523812	792
SRR17523815	993
SRR17523817	773
SRR17523818	948
SRR17523819	1035
SRR17523820	976
SRR17523821	835
SRR17523822	781
SRR17523823	966
SRR17523824	901
SRR17523825	675
SRR17523826	1053
SRR17523827	840
SRR17523828	857
SRR17523829	727
SRR17523830	977
SRR17523831	757
SRR17523832	881
SRR17523833	676
SRR17523834	833
SRR17523835	937
SRR17523838	1096
SRR17523844	1030
SRR17523871	1060
SRR17523882	985
SRR17523883	915
SRR17523885	721
SRR17523886	821
SRR17523888	998
SRR17523889	827
SRR17523890	782
SRR17523891	1033
SRR17523893	923
SRR17523894	1045
SRR17523895	859
SRR17523896	1117
SRR17523897	941
SRR17523898	409
SRR17523899	954
SRR17523900	938
