GCF_000194945.1
GCF_000212855.1
GCF_000212815.1
GCF_001078705.1
GCF_003943735.1
GCF_003943655.1
GCF_900635155.1
GCF_013343115.1
GCA_013378335.1
GCF_000767835.1
GCF_902460385.1
GCF_019090945.1
GCF_001578725.1
